Date	Owner	Statement	Verdict	Link	Suitability	Notes	Possible Source(s) to use?
10/03/2014	Labour press release	Under David Cameron’s government the number of young people aged 18-24 claiming Jobseeker’s Allowance for over a year has doubled – from 28,300 in May 2010 to 56,100 today.	TRUE	http://blogs.channel4.com/factcheck/factcheck-labours-youth-jobs-guarantee-add/17899	Yes		http://www.ons.gov.uk/ons/publications/re-reference-tables.html?edition=tcm%3A77-296703
10/03/2014	Conservatives	Labour have now committed themselves to spending the proceeds of bank tax revenues 10 times over on 11 different things.	HALF TRUE	http://blogs.channel4.com/factcheck/factcheck-labours-youth-jobs-guarantee-add/17899	No	Defining commitment of funds is difficult to assess and speculative in nature.	
07/03/2014	Owen Paterson	If you look at what’s happened in the Republic of Ireland, the number of incidents has come down from 45,000 to 15,000.	TRUE	http://blogs.channel4.com/factcheck/factcheck-irish-badger-cull-worked/17887	No	It requires more context, i.e. the fact that basdgers are considered a cause of T.B. in cows.	
04/03/2014	Nato secretary general Anders Fogh Rasmussen	Military action against Ukraine by forces of the Russian Federation is a breach of international law.	TRUE	http://blogs.channel4.com/factcheck/factcheck-crimea-myth-reality/17855	No	Interpretation of international law is difficult to be done objectively.	
04/03/2014	Russian embassy statement	There has been a lot of speculation regarding movements of troops of the Russian Black Sea fleet, taken as a precautionary measure in full compliance with the relevant bilateral agreements with Ukraine.	TRUE	http://blogs.channel4.com/factcheck/factcheck-crimea-myth-reality/17855	No	Interpretation of international law is difficult to be done objectively.	
04/03/2014	Russian embassy statement	Political power in Kiev has been concentrated in the hands of far-right extremist elements that do not hide their xenophobic, anti-Semitic, neofascist credentials.	HALF TRUE	http://blogs.channel4.com/factcheck/factcheck-crimea-myth-reality/17855	No	"Concentration of power" and political beliefs are hard to interpret objectively.	
04/03/2014	Ukrainian ambassador to the UN, Yuriy Sergeyev	We are strong enough to defend ourselves.	HALF TRUE	http://blogs.channel4.com/factcheck/factcheck-crimea-myth-reality/17855	No	Difficult to assess what it means to be "strong enough".	
28/02/2014	Daily Mirror	Up to 74 children have been taken into care in the last five years because they are obese	FALSE	http://blogs.channel4.com/factcheck/factcheck-childhood-obesity-worse/17833	No	Furthermore, we need to interpret "care" and assess the cause.	Assessing this needs data not available online, they asked the councils directly.
28/02/2014	Press Association	There has been a 12 per cent rise in the number of under-16s admitted to hospital for obesity in the last year, figures show.	TRUE	http://blogs.channel4.com/factcheck/factcheck-childhood-obesity-worse/17833	Yes		http://www.hscic.gov.uk/
24/02/2014	Alex Salmond	Looking at Scotland with oil, we’re among the top 10 countries. We’re eighth in the world of developed countries – the UK would be 18th.	TRUE	http://blogs.channel4.com/factcheck/factcheck-scotlands-oil-wealth/17811	Yes		http://www.scotland.gov.uk/Resource/0041/00416075.pdf
24/02/2014	Alex Salmond	Without oil the productivity, the GDP per head, of the Scottish economy is approximately the same as the UK’s.	TRUE	http://blogs.channel4.com/factcheck/factcheck-scotlands-oil-wealth/17811	Yes		http://www.gla.ac.uk/media/media_275906_en.pdf
24/02/2014	Alex Salmond	Recent estimates suggest that activity in the North Sea fields will last for decades with 24 billion barrels of oil equivalent, valued at £1.5 trillion.	FALSE	http://blogs.channel4.com/factcheck/factcheck-scotlands-oil-wealth/17811	No	What is called here "equivalent" is gas and oil, not sure it can be assessed objectively. It is also about the fututre really.	
24/02/2014	Alex Salmond	I mean handling the oil and gas resource for the community as a whole as Norway has accumulated much of its revenues for a futures fund for future generations.	HALF TRUE	http://blogs.channel4.com/factcheck/factcheck-scotlands-oil-wealth/17811	No	This is really about the future, not a fact.	
22/02/2014	27 Anglican bishops and 16 other Christian leaders	Half a million people have visited foodbanks in the UK since last Easter.	TRUE	http://blogs.channel4.com/factcheck/factcheck-government-starving/17793	No		Looks like one needs to ask the foodbanks; no online resource
22/02/2014	27 Anglican bishops and 16 other Christian leaders	Over half of people using foodbanks have been put in that situation by cut backs to and failures in the benefit system, whether it be payment delays or punitive sanctions.	TRUE	http://blogs.channel4.com/factcheck/factcheck-government-starving/17793	No	The cause stated here is difficult to assess objectively.	
22/02/2014	27 Anglican bishops and 16 other Christian leaders	5,500 people were admitted to hospital in the UK for malnutrition last year.	TRUE	http://blogs.channel4.com/factcheck/factcheck-government-starving/17793	Yes	The source is mentioned but not linked to by the blog.	http://www.hscic.gov.uk/
17/02/2014	Alex Salmond	No member state has suggested that it would seek to block Scottish membership.	TRUE	http://blogs.channel4.com/factcheck/factcheck-independent-scotland-stay-eu/17767	No	No facts to check really.	
05/02/2014	Ed Miliband	Why, for the first time in five years, has the gap between men and women’s pay increased? …because the minimum wage is losing value, because of the growth of zero hours contracts, and the problem women have accessing childcare.	TRUE	http://blogs.channel4.com/factcheck/labour-hit-tory-weak-spot-battle-sexes-factcheck/17681	Yes	There is causality, but also a lot of numbers to fact check which is what they did anyway.	http://www.ons.gov.uk/ons/dcp171778_335027.pdf, https://www.gov.uk/government/publications/national-minimum-wage-low-pay-commission-report-2013, http://www.ons.gov.uk/ons/rel/lmac/women-in-the-labour-market/2013/rpt---women-in-the-labour-market.html#tab-Women-in-the-labour-market,https://itnltd-my.sharepoint.com/personal/karimf_itn_co_uk/_layouts/15/WopiFrame2.aspx?sourcedoc={21E18BF1-B158-4966-B24F-05BD7D75BDE7}&file=Times.xlsx&action=default
05/02/2014	David Cameron	This government has spent £2.4bn over this four-year period, which is more than the £2.2bn spent under the previous government.	HALF TRUE	http://blogs.channel4.com/factcheck/factcheck-deluge-spin-floods-spending/17671	Yes		https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/273582/flood-coastal-erosion-funding.pdf
03/02/2014	Labour MP Michael Dugher	Many rightly see this as an emerging pattern of behaviour in Whitehall with non-Conservative supporters being replaced by prominent Conservatives.	HALF TRUE	http://blogs.channel4.com/factcheck/factcheck-runs-britains-quangos/17645	No		
30/01/2014	Andy Burnham, shadow health secretary	These shocking figures expose the growing crisis in older people’s care on David Cameron’s watch.	FALSE	http://blogs.channel4.com/factcheck/factcheck-ae-scare-story-based-dodgy-figures/17615	No	Hard to interpret what these figures refers to and what does crisis mean.	
27/01/2014	shadow chancellor, Ed Balls	We say it will raise revenue, it will raise a substantial amount of revenue.	FALSE	http://blogs.channel4.com/factcheck/factcheck-50p-top-rate-tax-bring/17601	No	It is about the future really.	
23/01/2014	Crime prevention minister Norman Baker	England and Wales are safer than they have been for decades with crime now at its lowest level since the survey began in 1981.	HALF TRUE	http://blogs.channel4.com/factcheck/factcheck-trust-crime-figures/17565	Yes	While the numbers support the claim, the analysis worries about whether the numbers can be trusted.	http://www.ons.gov.uk/ons/rel/crime-stats/crime-statistics/period-ending-september-2013/index.html
22/01/2014	David Cameron	Housing starts are 89 per cent higher than the trough [Labour] left us in in 2009.	HALF TRUE	http://blogs.channel4.com/factcheck/affordable-housing-pm-scored-home-run-factcheck/17537	Yes	This was called factfiction due to ommitting important details, even though it is true	https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/259891/House_Building_Release_-_Sept_Qtr_2013.pdf
22/01/2014	David Cameron	When it comes to affordable homes we’ve already delivered over 100,000 affordable homes.	HALF TRUE	http://blogs.channel4.com/factcheck/affordable-housing-pm-scored-home-run-factcheck/17537	Yes	This was called factfiction due to ommitting important details, even though it is true	https://www.gov.uk/government/news/new-homes-build-britains-recovery--2
22/01/2014	David Cameron	New starts in affordable homes have fallen by a third since 2010.	TRUE	http://blogs.channel4.com/factcheck/affordable-housing-pm-scored-home-run-factcheck/17537	Yes		https://www.gov.uk/government/news/new-homes-build-britains-recovery--2
21/01/2014	Julie Bindel	Our own research suggests that the number of women and girls living with FGM in the UK is more likely to be around 170,000 -almost three times the existing official figures – and that 65,000 girls aged 13 and under are at risk of mutilation.	HALF TRUE	http://blogs.channel4.com/factcheck/factcheck-big-problem-female-genital-mutilation/17515	No	The numbers are rather speculative	
11/01/2014	Her Majesty’s Inspectorate of Constabulary	The police use of stop and search powers is too often ineffective in tackling crime	TRUE	http://blogs.channel4.com/factcheck/factcheck-case-stop-search-stack/17453	No	What does it mean to be ineffective?	
06/01/2014	George Osborne	There are people on incomes of £60,000 or £70,000 living in council homes.	TRUE	http://blogs.channel4.com/factcheck/factcheck-council-house-tenants-earn-60000/17393	Yes		https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/8355/2160581.pdf, https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/225313/High_Income_Social_Tenants_-_Pay_to_stay.pdf
06/01/2014	Shailesh Vara, Minister for the Courts and Legal Aid	The average criminal bar barrister working full-time is earning some £84,000.	FALSE	http://blogs.channel4.com/factcheck/factcheck-violins-barristers/17369	Yes	Hmm, the analysis relies on what it means to earn.	https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/269061/laa-barrister-spend.pdf
19/12/2013	Her Majesty’s Revenue & Customs	HMRC strongly disputes the conclusions in the Public Accounts Committee report and challenges the Committee’s selective and misleading use of figures.	HALF TRUE	http://blogs.channel4.com/factcheck/factcheck-mps-cherry-pick-hmrcs-figures/17043	No		
05/12/2013	David Cameron	So today we set out in detail the largest package of measures to tackle tax avoidance, tax evasion, fraud and error so far this parliament. Together it will raise over £9bn over the next five years.	HALF TRUE	http://blogs.channel4.com/factcheck/factcheck-unpicking-autumn-statement/16590	No		
05/12/2013	David Cameron	Real household disposable income is rising	HALF TRUE	http://blogs.channel4.com/factcheck/factcheck-unpicking-autumn-statement/16590	Yes	The measure used fluctuates a lot, so different quarters give different answers, which is while technically true, it is not called Fact.	http://www.ons.gov.uk/ons/index.html
05/12/2013	David Cameron	This year we have the highest proportion of young people from disadvantaged backgrounds applying to university ever.	MOSTLY TRUE	http://blogs.channel4.com/factcheck/factcheck-unpicking-autumn-statement/16590	Yes	This one used a different labeling scheme	http://www.hesa.ac.uk/index.php?option=com_content&task=view&id=2397&Itemid=141
28/11/2013	Imperial Tobacco	The real evidence from Australia… is clear: plain packaging has not had an impact on tobacco consumption but a KPMG report shows there has been an increase in illicit trade.	HALF TRUE	http://blogs.channel4.com/factcheck/factcheck-plain-packaging-reduce-smoking-rates/16548	No	Hard to quantify the impact.	http://www.bmjopen.bmj.com/content/3/7/e003175, http://londoneconomics.co.uk/wp-content/uploads/2013/11/London-Economics-Report-Australian-Prevalence-Final-Report-25-11-2013.pdf
26/11/2013	Alex Salmond	There is a very, very powerful argument (for Scotland to retain the pound)	FALSE	http://blogs.channel4.com/factcheck/factcheck-scotland-hands-economic-future-england/16500	No		
13/11/2013	Sir John Major	In every single sphere of British influence, the upper echelons of power in 2013 are held overwhelmingly by the privately educated or the affluent middle class.	MOSTLY TRUE	http://blogs.channel4.com/factcheck/factcheck-social-mobility-collapsed/16444	No		
13/11/2013	Sir John Major	New Labour promised social improvement but delivered a collapse in social mobility.	HALF TRUE	http://blogs.channel4.com/factcheck/factcheck-social-mobility-collapsed/16444	No		
13/11/2013	Craig Cobb	Hold on, just wait a minute. This is called statistical noise.	FALSE	http://blogs.channel4.com/factcheck/factcheck-ancestry-african-dna-denial/16412	No		
12/11/2013	Royal College of Nursing	The NHS (is) potentially operating on nearly 20,000 fewer full-time nursing staff than planned.	MOSTLY TRUE	http://blogs.channel4.com/factcheck/factcheck-feast-famine-nursing-numbers/16386	Maybe	The data seems to be unavailable	
08/11/2013	Scottish government spokesman	Scotland stands to inherit a fair share of existing UK defence assets, as the UK government has now conceded.	MOSTLY FALSE	http://blogs.channel4.com/factcheck/factcheck-independent-scotland-faces-fight-uk-defence-assets/16480	No		
06/11/2013	David Cameron	Last week was the 27th week in a row that we met our A&E targets.	MOSTLY TRUE	http://blogs.channel4.com/factcheck/factcheck-coalition-destroying-nhs/16348	No		
06/11/2013	Ed Miliband	The Prime Minister is simply wrong about the figures…the target has been missed for 15 consecutive weeks.	MOSTLY FALSE	http://blogs.channel4.com/factcheck/factcheck-coalition-destroying-nhs/16348	No		
04/11/2013	Gareth Thomas	Today’s report shows that Europe brings each UK household £3,000 a year.	MOSTLY FALSE	http://blogs.channel4.com/factcheck/factcheck-europe-bring-household-3000/16300	No	The verdict talks about the small print here, not sure if we would include this.	http://www.cbi.org.uk/media/2451423/our_global_future.pdf,http://www.google.co.uk/url?sa=t&rct=j&q=&esrc=s&frm=1&source=web&cd=1&ved=0CC8QFjAA&url=http%3A%2F%2Fwww.iod.com%2FInfluencing%2FPolicy-papers%2FEurope%2F~%2Fmedia%2F0CD5046359EF4F9AADA5B2C416D5D022.ashx&ei=pdl3UsKnC6HM0QWs5IHYCg&usg=AFQjCNF1WJgW41s5RRDrsnHESuBrmSilJQ&sig2=7BJ3HqUUGzU5sq5HD2yhSg&bvm=bv.55819444,d.bGE, http://www.iea.org.uk/sites/default/files/publications/files/upldbook33pdf.pdf
25/03/2014	FaceBook post	The percentage of black children born without a father in the home has risen from 7 percent in 1964 to 73 percent today, due to changes from President Lyndon Johnson’s Great Society.	FALSE	http://www.politifact.com/truth-o-meter/statements/2014/mar/25/facebook-posts/facebook-meme-blames-great-society-large-rise-afri/	Yes	The claim is false even if we ignore the causality.	http://www2.census.gov/prod2/statcomp/documents/1967.zip, http://www2.census.gov/prod2/statcomp/documents/1966.zip, http://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf, http://www.census.gov/hhes/families/files/ch2.xls, http://www.census.gov/hhes/families/files/ch3.xls
23/03/2014	Sen. Marco Rubio, R-Fla.	Americans increasingly want (the Affordable Care Act) to be repealed.	MOSTLY FALSE	http://www.politifact.com/truth-o-meter/statements/2014/mar/25/marco-rubio/marco-rubio-said-americans-increasingly-want-healt/	Yes		https://www.documentcloud.org/documents/1096583-health-care-special-report-march-2014-3-18-14.html, http://www.realclearpolitics.com/epolls/other/repeal_of_health_care_law_favoroppose-1947.html
20/03/2014	Now or Never PAC	Ralph Hall is "the oldest member in Congress ever.	FALSE	http://www.politifact.com/truth-o-meter/statements/2014/mar/20/now-or-never-pac/ad-attacking-texas-rep-ralph-hall-age-gets-histori/	Yes		http://history.house.gov/Institution/Firsts-Milestones/Record-Holders/, http://bioguide.congress.gov/scripts/biodisplay.pl?index=t000254
20/03/2014	Sen. Mark Begich, D-Alaska	Says he "forced Washington to open up the Arctic Ocean to oil drilling."	MOSTLY TRUE	http://www.politifact.com/truth-o-meter/statements/2014/mar/24/mark-begich/mark-begich-ad-says-he-forced-dc-open-arctic-oil-d/	No		
20/03/2014	Barack Obama	Our high school graduation rate is the highest on record.	HALF TRUE	http://www.politifact.com/truth-o-meter/statements/2014/mar/26/barack-obama/barack-obama-says-high-schoolers-are-graduating-al/	Yes		https://www.ed.gov/news/press-releases/education-department-releases-new-school-level-graduation-rate-data-better-infor, http://nces.ed.gov/pubs2013/2013309rev.pdf, http://blog.centerforpubliceducation.org/2014/02/20/high-school-graduation-rate-at-an-all-time-high/, http://nces.ed.gov/ccd/tables/AFGR0812.asp, https://nces.ed.gov/programs/coe/indicator_coi.asp, https://nces.ed.gov/programs/digest/d12/tables/dt12_122.asp, http://nces.ed.gov/pubs2012/2012001.pdf
17/03/2014	Chain email	Says President Barack Obama told a room of students, "Children, every time I clap my hands together, a child in America dies from gun violence," and then a child told him he could solve the problem by not clapping any more.	FALSE	http://www.politifact.com/truth-o-meter/statements/2014/mar/17/chain-email/chain-email-says-child-upbraided-barack-obama-clap/	No	It is a story, not a statement really, even though a story can be thought of as a series of statements.	
17/03/2014	Americans for Prosperity	Millions of Americans are "paying more and getting less" under Obamacare.	FALSE	http://www.politifact.com/truth-o-meter/statements/2014/mar/20/americans-prosperity/americans-prosperity-claims-people-are-getting-les/	No	Hard to assess causality objectively.	
16/03/2014	White House adviser Dan Pfeiffer	President Barack Obama’s "approval rating gained 3 points in the last couple months".	MOSTLY TRUE	http://www.politifact.com/truth-o-meter/statements/2014/mar/16/dan-pfeiffer/dan-pfeiffer-says-obamas-approval-rating-recent-mo/	Yes	The statement is lightly rephrased by politifact, the original has an "it" instead of "President Barack Obama's approval"	http://www.realclearpolitics.com/epolls/other/president_obama_job_approval-1044.html, http://elections.huffingtonpost.com/pollster/obama-job-approval#!, http://msnbcmedia.msn.com/i/MSNBC/Sections/NEWS/A_U.S.%20news/US-news-PDFs/14133%20MARCH%20NBC-WSJ%20Poll%20(3-12%20Release).pdf
13/03/2014	House Speaker John Boehner, R-Ohio	There are less people today with health insurance than there were before this law went into effect.	FALSE	http://www.politifact.com/truth-o-meter/statements/2014/mar/18/john-boehner/john-boehner-says-more-people-are-uninsured-obamac/	No	I think that assessing who has health insurance and who doesn't is not easy to do objectively.	
12/03/2014	Rep. Nick Rahall, D-W.Va.	I probably have supported George Bush more than I have Barack Obama, Am I going to switch parties because of that? No. I’m a Democrat, born a Democrat, am a Democrat and will die a Democrat.	FALSE	http://www.politifact.com/truth-o-meter/statements/2014/mar/18/nick-rahall/rep-nick-rahall-west-virginia-says-he-supported-ge/	No	Assessing what counts as support is difficult to do objectively	
11/03/2014	Democratic National Committee	Democrats "got outspent in a Republican district."	MOSTLY FALSE	http://www.politifact.com/truth-o-meter/statements/2014/mar/14/democratic-national-committee/democrats-say-alex-sink-got-outspent-republican-di/	Yes	What does it mean to be a Republican district?	http://www.opensecrets.org/races/summary.php?cycle=2014&id=FL13&spec=Y, http://www.fec.gov/disclosurehs/HSCandDetail.do, http://cookpolitical.com/house/race/1592
11/03/2014	Barack Obama	Most young Americans right now, they’re not covered" by health insuranc	FALSE	http://www.politifact.com/truth-o-meter/statements/2014/mar/11/barack-obama/between-two-ferns-interview-barack-obama-says-most/	Yes		http://www.census.gov/hhes/www/cpstables/032013/health/h01_001.xls, http://www.gallup.com/poll/167798/uninsured-rate-continues-fall.aspx
10/03/2014	Facebook post	Says Marco Rubio believes the earth is 9,000 years old and that humans hunted dinosaurs to extinction	FALSE	http://www.politifact.com/truth-o-meter/statements/2014/mar/25/facebook-posts/facebook-meme-claims-rand-paul-and-marco-rubio-hav/#atfhead	No		
09/03/2014	Janet Murguía, National Council of La Raza president	The truth is we’re at the point of reaching 2 million deportations. For us, this is a historic level, more than any other president of the United States.	HALF TRUE	http://www.politifact.com/truth-o-meter/statements/2014/mar/17/janet-murguia/activist-janet-murguia-calls-obama-deporter-chief-/	Yes	It spans over two sentences, but we could make it one without changing the meaning I think.	http://www.pewresearch.org/fact-tank/2013/09/19/high-rate-of-deportations-continue-under-obama-despite-latino-disapproval/, https://www.dhs.gov/yearbook-immigration-statistics-2012-enforcement-actions, https://www.ice.gov/doclib/about/offices/ero/pdf/ero-removals1.pdf, http://www.ice.gov/removal-statistics/
09/03/2014	Sen. Rand Paul, R-Ky.	The president won the youth vote 3 to 1, but his numbers have dropped 20, 30 percent among the youth.	MOSTLY TRUE	http://www.politifact.com/truth-o-meter/statements/2014/mar/09/rand-paul/sen-paul-says-obama-lost-youth-support/	Yes		http://www.cnn.com/ELECTION/2008/results/president/, http://www.cnn.com/election/2012/results/race/president, http://www.iop.harvard.edu/approval-obama-both-parties-congress-slide-across-board-near-majority-would-support-recalling, http://www.gallup.com/poll/124922/Presidential-Approval-Center.aspx, http://www.iop.harvard.edu/sites/default/files_new/HarvardIOPFall2013ExecSummary.pdf, http://www.iop.harvard.edu/sites/default/files_new/HarvardIOPFall2013ExecSummary.pdf
08/03/2014	Rob Portman	The average family (is) now bringing home $4,000 less than they did just five years ago.	TRUE	http://www.politifact.com/truth-o-meter/statements/2014/mar/12/rob-portman/rob-portman-says-average-us-family-earning-4000-le/	Yes		http://www.census.gov/hhes/www/income/data/historical/families/2012/F05_2012.xls
06/03/2014	Sen. Ted Cruz, R-Texas	President Barack Obama "is the first president we've ever had who thinks he can choose which laws to enforce and which laws to ignore."	FALSE	http://www.politifact.com/truth-o-meter/statements/2014/mar/10/ted-cruz/ted-cruz-says-barack-obama-first-president-who-thi/	No	Difficult to assess objectively.	
05/03/2014	Barack Obama	When I talk about (raising the) minimum wage, not only is it good policy, but the majority of the country, including half of Republicans, agree with it.	MOSTLY TRUE	http://www.politifact.com/truth-o-meter/statements/2014/mar/07/barack-obama/barack-obama-says-half-republicans-agree-minimum-w/	No	What does it mean to agree with? It is more about opinions instead of facts.	
03/03/2014	Rep. Paul Ryan, R-Wis	Over the past three years, ‘deep poverty’ has reached its highest level on record.	TRUE	http://www.politifact.com/truth-o-meter/statements/2014/mar/04/paul-ryan/paul-ryan-releases-report-saying-percentage-americ/	Yes	A bit of an issue with the deep poverty, but it seems to be well-defined.	http://www.census.gov/hhes/www/poverty/data/historical/hstpov5.xls, http://www.documentcloud.org/documents/1033869-waronpoverty50.html#document/p2, http://www.census.gov/hhes/www/poverty/data/historical/hstpov2.xls
02/03/2014	Defense Secretary Chuck Hagel	It isn't me cutting the budget. It's the Congress' decision on sequestration. So it isn't secretary of defense or the president doing this.	HALF TRUE	http://www.politifact.com/truth-o-meter/statements/2014/mar/05/chuck-hagel/hagel-says-congress-responsible-defense-cuts-not-o/	No	Hard to tell objectively whose decision it is.	
02/03/2014	American Petroleum Institute	Bill Clinton and George Bush both say build the Keystone XL.	TRUE	http://www.politifact.com/truth-o-meter/statements/2014/mar/05/american-petroleum-institute/do-bill-clinton-and-george-bush-support-keystone-x/	No	Hard to assess support.	
02/03/2014	Secretary of State John Kerry	The (Russian) ruble is already going down.	MOSTLY TRUE	http://www.politifact.com/truth-o-meter/statements/2014/mar/02/john-kerry/john-kerry-tells-cbs-viewers-russian-isolation-com/	Yes	Time is a crucial here. Rated mostly because it suggests only some of the causes. Could this be maybe?	http://www.xe.com/currencyconverter/convert/?Amount=1&From=RUB&To=USD
02/03/2014	Rep. Mike Rogers, R-Mich.	Crimea was part of Russia "until 1954, when it was given to the Soviet Republic of the Ukraine."	TRUE	http://www.politifact.com/truth-o-meter/statements/2014/mar/02/mike-rogers/why-crimea-matters-russia/	Yes	wikipedia should work here too	http://www.themoscowtimes.com/opinion/article/will-putin-seize-crimea/495074.html
28/02/2014	Larry Pressler	American Hustle shows the FBI making real-life bribes to Washington politicians. I know, because as your U.S. senator, I turned them down.	TRUE	http://www.politifact.com/truth-o-meter/statements/2014/mar/04/larry-pressler/larry-pressler-recalls-role-rejecting-abscam-bribe/	No	This is more of a story rather than a statement.	
27/02/2014	Rep. Louise Slaughter, D-N.Y.	By 4th grade, 86 percent of African-American boys and 82 percent (of) Hispanic boys are reading below proficiency levels.	TRUE	http://www.politifact.com/truth-o-meter/statements/2014/feb/28/louise-slaughter/louise-slaughter-tweets-four-five-black-and-hispan/	Yes		http://nces.ed.gov/nationsreportcard/naepdata/report.aspx?app=NDE&p=1-RED-2-20133%2c20113%2c20093%2c20073%2c20053%2c20033%2c20023%2c20003%2c20002%2c19983%2c19982%2c19942%2c19922-RRPCM-TOTAL-NT-MN_MN-Y_J-0-0-37, http://nces.ed.gov/nationsreportcard/reading/achieve.aspx#2009_grade4, http://nationsreportcard.gov/reading_math_2013/#/student-groups
27/02/2014	Barack Obama	Fewer black and Latino men participate in the labor force, compared to young white men.	MOSTLY TRUE	http://www.politifact.com/truth-o-meter/statements/2014/feb/28/barack-obama/barack-obama-says-fewer-black-latino-young-men-par/	Yes		http://www.bls.gov/cps/, http://www.pewresearch.org/fact-tank/2013/09/04/hispanic-college-enrollment-rate-surpasses-whites-for-the-first-time/
26/02/2014	Louisiana Gov. Bobby Jindal	Our economy (in Louisiana) has grown 50 percent faster than the national GDP, even since the national recession.	MOSTLY TRUE	http://www.politifact.com/truth-o-meter/statements/2014/feb/27/bobby-jindal/bobby-jindal-says-louisianas-growth-has-outpaced-n/	Yes	Mostly true because other reasonable ranges give different outcome	http://www.nber.org/cycles/cyclesmain.html, http://www.bea.gov/regional/index.htm
24/02/2014	Sen. Pat Toomey, R-Pa.	Debo Adegbile "was nominated to serve as a judge on the U.S. Circuit Court of Appeals" and "was abruptly withdrawn by the administration."	FALSE	http://www.politifact.com/truth-o-meter/statements/2014/feb/27/pat-toomey/pat-toomey-says-barack-obama-previously-nominated-/	No	Hinges upon nominate vs. consider	
23/02/2014	Sen. Dick Durbin, D-Ill.	Under current policies, "we're going to reduce the overall debt of the United States by $3 trillion over the next 10 years."	FALSE	http://www.politifact.com/truth-o-meter/statements/2014/feb/25/richard-durbin/dick-durbin-says-us-debt-track-fall-3-trillion-nex/	No	It is a speculation, but an unrealistic one.	
21/02/2014	Americans for Prosperity	Alaska Sen. Mark Begich "is on record supporting a carbon tax, even pushing Harry Reid to make it a priority."	MOSTLY FALSE	http://www.politifact.com/truth-o-meter/statements/2014/feb/25/americans-prosperity/conservative-ad-says-begich-supports-carbon-tax/	No		
